NOC,Sport,Prediction,NOC.1,Sport.1,2024,medal,Rate,,Number
CHN,Surfing,1,CHN,Surfing,0.4523504327198513,0.4523504327198513,0.018013614355642964,,2
THA,Table Tennis,5,THA,Table Tennis,0.5029600312727993,2.5148001563639966,0.031342299926698965,,5
CHN,Taekwondo,6,CHN,Taekwondo,0.2180691982564546,1.3084151895387275,0.03400986635676059,,8
CHN,Tennis,12,CHN,Tennis,0.3959062292818561,4.750874751382273,0.06428752451981143,,5
CHN,Trampoline Gymnastics,4,CHN,Trampoline Gymnastics,0.1405695271438771,0.5622781085755084,0.03409742017941011,,2
CHN,Triathlon,1,CHN,Triathlon,0.4689608221313684,0.4689608221313684,0.011368809641463007,,3
CHN,Volleyball,13,CHN,Volleyball,0.1800249098711747,2.340323828325271,0.034709620403540774,,2
CHN,Weightlifting,6,CHN,Weightlifting,0.4695262356311757,2.8171574137870543,0.06443753883978003,,10
CHN,Wrestling,12,CHN,Wrestling,0.2731980930376513,3.2783771164518156,0.04115543919923305,,18
CIV,Archery,1,CIV,Archery,0,0,0,,5
CIV,Athletics,12,CIV,Athletics,0.0130157773751272,0.1561893285015264,0.0007991812451045628,,48
CIV,Boxing,2,CIV,Boxing,0,0,0,,13
CIV,Canoeing,2,CIV,Canoeing,0,0,,,16
CIV,Fencing,2,CIV,Fencing,0.0274781618787747,0.0549563237575494,0.0007359265028823151,,12
CIV,Football,21,CIV,Football,0,0,0,,2
CIV,Handball,14,CIV,Handball,0,0,0,,2
CIV,Judo,1,CIV,Judo,0.0794648392014172,0.0794648392014172,0.0007071051374421877,,15
CIV,Rowing,1,CIV,Rowing,0,0,0,,14
CIV,Taekwondo,3,CIV,Taekwondo,0.0612495602230964,0.18374868066928918,0.0047762118039891745,,8
CIV,Tennis,2,CIV,Tennis,0,0,0,,5
CIV,Wrestling,1,CIV,Wrestling,0,0,0,,18
CMR,Athletics,2,CMR,Athletics,0.0154659601938802,0.0309319203877604,0.00015827080432530307,,48
CMR,Boxing,3,CMR,Boxing,0,0,0,,13
CMR,Cycling,8,CMR,Cycling,0,0,,,
CMR,Football,17,CMR,Football,0,0,0,,2
CMR,Judo,1,CMR,Judo,0.037520306518376,0.037520306518376,0.00033386843494771854,,15
CMR,Rowing,1,CMR,Rowing,0,0,0,,14
SLO,Table Tennis,5,SLO,Table Tennis,0.4808653708316555,2.4043268541582776,0.029965455980327217,,5
CMR,Volleyball,10,CMR,Volleyball,0,0,0,,2
CMR,Weightlifting,2,CMR,Weightlifting,0,0,0,,10
CMR,Wrestling,1,CMR,Wrestling,0,0,0,,18
COD,Athletics,1,COD,Athletics,0.0099984283869671,0.0099984283869671,5.115942634523255e-05,,48
COD,Basketball,12,COD,Basketball,0,0,0,,2
COD,Boxing,2,COD,Boxing,0.0009505517912398,0.0019011035824796,2.687521230900082e-05,,13
COD,Cycling,3,COD,Cycling,0,0,,,
COD,Judo,1,COD,Judo,0.0246217228644205,0.0246217228644205,0.0002190924552930954,,15
DEN,Table Tennis,5,DEN,Table Tennis,0.3704205617156505,1.8521028085782527,0.023083011814931262,,5
COD,Taekwondo,1,COD,Taekwondo,0,0,0,,8
COK,Athletics,1,COK,Athletics,0.0005746253717358,0.0005746253717358,2.940212525774454e-06,,48
COK,Boxing,3,COK,Boxing,0,0,0,,13
COK,Canoeing,2,COK,Canoeing,0,0,,,16
COK,Sailing,2,COK,Sailing,0,0,0,,10
COK,Weightlifting,1,COK,Weightlifting,0,0,0,,10
COL,Archery,9,COL,Archery,0.142048836251689,1.2784395262652009,0.01412922567623845,,5
COL,Artistic Gymnastics,9,COL,Artistic Gymnastics,0.176675200804484,1.5900768072403562,0.014124619289755513,,14
COL,Athletics,19,COL,Athletics,0.0889132325141636,1.6893514177691082,0.008643983442560739,,48
COL,Boxing,5,COL,Boxing,0.1657146956652022,0.828573478326011,0.011713242954691968,,13
COL,Cycling,16,COL,Cycling,0,0,,,
COL,Cycling BMX Freestyle,1,COL,Cycling BMX Freestyle,0.6292488902085654,0.6292488902085654,0.05532455299223445,,2
COL,Cycling BMX Racing,5,COL,Cycling BMX Racing,0.0035569501624084,0.017784750812041998,0.0005820856129394534,,2
