,Date,预测的比特币价格,预测的黄金价格,真实的比特币价格,真实的黄金价格
764,2018/10/15 00:00:00,6409.085625219999,1226.7228083333328,6452.571667,1229.95
765,2018/10/16 00:00:00,6622.7439,1226.7228083333328,6599.17,1230.7
766,2018/10/17 00:00:00,6599.806655230004,1227.9270416666673,6596.276154,1229.05
767,2018/10/18 00:00:00,6596.188171900006,1224.813,6568.040769,1223.0
768,2018/10/19 00:00:00,6524.094610329991,1227.3010000000013,6509.61,1227.85
769,2018/10/20 00:00:00,6476.410266490006,1224.144499999999,6488.825833,
770,2018/10/21 00:00:00,6522.259929329992,1227.21,6531.601667,
771,2018/10/22 00:00:00,6492.468625730009,1227.21,6504.78,1222.3
772,2018/10/23 00:00:00,6444.326798349994,1227.21,6481.426,1235.95
773,2018/10/24 00:00:00,6489.995582720002,1233.231000000002,6508.31,1230.55
774,2018/10/25 00:00:00,6466.156316770002,1230.1240000000014,6489.77,1230.8
775,2018/10/26 00:00:00,6497.385145709996,1228.9567416666664,6473.753333,1233.85
776,2018/10/27 00:00:00,6482.723200049992,1234.0890000000009,6465.9175,
777,2018/10/28 00:00:00,6502.07716668,1228.9567416666664,6457.21,
778,2018/10/29 00:00:00,6558.81086667,1228.9567416666664,6382.668333,1230.8
779,2018/10/30 00:00:00,6347.420976430004,1228.9567416666664,6309.452857,1225.4
780,2018/10/31 00:00:00,6336.641258299995,1218.5419999999992,6301.61,1214.95
781,2018/11/01 00:00:00,6409.085625219999,1205.8165000000015,6342.280833,1231.15
782,2018/11/02 00:00:00,6441.921221959995,1234.4031666666683,6387.674167,1232.1
783,2018/11/03 00:00:00,6438.850289920003,1233.1000000000006,6390.42,
784,2018/11/04 00:00:00,6478.599342170001,1232.8465000000017,6391.873333,
785,2018/11/05 00:00:00,6479.287496930001,1232.8465000000017,6436.965,1232.25
786,2018/11/06 00:00:00,6446.137933300005,1232.8465000000017,6437.76,1231.6
787,2018/11/07 00:00:00,6512.482566660003,1230.0909999999988,6538.79,1229.95
788,2018/11/08 00:00:00,6535.671096430004,1226.7228083333328,6486.251667,1224.15
789,2018/11/09 00:00:00,6457.2691736199895,1216.084999999999,6444.97,1211.4
790,2018/11/10 00:00:00,6685.453499999999,1216.7670000000012,6399.033333,
791,2018/11/11 00:00:00,6373.1723599100105,1208.8196166666676,6378.268333,
